event_id,deficiency_domain,deficiency_subtype,subtype_redacted,application_type,product_name,sponsor,office,regulatory_pathway,crl_date,year,disclosure_status__publicly_rele,application_number,data_limitation
CRL_001,Clinical,Efficacy,0,NDA,Vatiquonine Oral Capusles,"PTC Therapeutics, Inc",Not Available,Not Available,8/18/2025,2025,N,220049,1
CRL_001,Statistics,Insufficient Evidence/Not Persuasive,0,NDA,Vatiquonine Oral Capusles,"PTC Therapeutics, Inc",Not Available,Not Available,8/18/2025,2025,N,220049,1
CRL_001,Statistics,Missing/Inadequate Analyses,0,NDA,Vatiquonine Oral Capusles,"PTC Therapeutics, Inc",Not Available,Not Available,8/18/2025,2025,N,220049,1
CRL_001,Clinical,Study Design,0,NDA,Vatiquonine Oral Capusles,"PTC Therapeutics, Inc",Not Available,Not Available,8/18/2025,2025,N,220049,1
CRL_001,Nonclinical,Redacted,1,NDA,Vatiquonine Oral Capusles,"PTC Therapeutics, Inc",Not Available,Not Available,8/18/2025,2025,N,220049,1
CRL_001,CMC,Redacted,1,NDA,Vatiquonine Oral Capusles,"PTC Therapeutics, Inc",Not Available,Not Available,8/18/2025,2025,N,220049,1
CRL_002,CMC,Redacted,1,NDA,Phenylephrine hydrochloride in sodium chloride injection,Hikma Pharmaceuticals USA Inc,Not Available,Not Available,12/23/2024,2024,N,219357,1
CRL_003,Clinical,Efficacy,0,NDA,Govorestat,"Applied Therapeutics, Inc",Not Available,Not Available,11/27/2024,2024,N,219195,1
CRL_003,Statistics,Insufficient Evidence/Not Persuasive,0,NDA,Govorestat,"Applied Therapeutics, Inc",Not Available,Not Available,11/27/2024,2024,N,219195,1
CRL_003,Clinical,Study Design,0,NDA,Govorestat,"Applied Therapeutics, Inc",Not Available,Not Available,11/27/2024,2024,N,219195,1
CRL_004,CMC,Redacted,1,NDA,Diazepam Injection,"Hospira, Inc",Not Available,Not Available,1/17/2025,2025,N,219112,1
CRL_004,Nonclinical,Redacted,1,NDA,Diazepam Injection,"Hospira, Inc",Not Available,Not Available,1/17/2025,2025,N,219112,1
CRL_005,Clinical,Safety,0,NDA,Naloxone Hydrochloride (HCI) Nasal Spray,Hikma Pharmaceuticals USA Inc,Not Available,Not Available,10/21/2024,2024,N,219045,1
CRL_006,Clinical,Safety,0,NDA,Dienogest and Ethinyl Estradiol Tablets,"Chemo Research, S.L.",Not Available,Not Available,5/29/2025,2025,N,219029,1
CRL_007,Clinical,Data Integrity,0,NDA,Irinotecan Liposome Injection,Conjupro Biotherapeutics Inc,Not Available,Not Available,7/30/2025,2025,N,218923,1
CRL_007,CMC,Facility,0,NDA,Irinotecan Liposome Injection,Conjupro Biotherapeutics Inc,Not Available,Not Available,7/30/2025,2025,N,218923,1
CRL_008,Clinical,Data Integrity,0,NDA,Irinotecan Liposome Injection,Conjupro Biotherapeutics Inc,Not Available,Not Available,10/10/2024,2024,N,218923,1
