event_id,deficiency_domain,application_type,office,regulatory_pathway,year
CRL_001,CMC,NDA,Not Available,Not Available,2025
CRL_001,Clinical,NDA,Not Available,Not Available,2025
CRL_001,Nonclinical,NDA,Not Available,Not Available,2025
CRL_001,Statistics,NDA,Not Available,Not Available,2025
CRL_002,CMC,NDA,Not Available,Not Available,2024
CRL_003,Clinical,NDA,Not Available,Not Available,2024
CRL_003,Statistics,NDA,Not Available,Not Available,2024
CRL_004,CMC,NDA,Not Available,Not Available,2025
CRL_004,Nonclinical,NDA,Not Available,Not Available,2025
CRL_005,Clinical,NDA,Not Available,Not Available,2024
CRL_006,Clinical,NDA,Not Available,Not Available,2025
CRL_007,CMC,NDA,Not Available,Not Available,2025
CRL_007,Clinical,NDA,Not Available,Not Available,2025
CRL_008,CMC,NDA,Not Available,Not Available,2024
CRL_008,Clinical,NDA,Not Available,Not Available,2024
CRL_009,CMC,NDA,Not Available,Not Available,2025
CRL_010,Clinical,NDA,Not Available,Not Available,2024
CRL_010,Statistics,NDA,Not Available,Not Available,2024
CRL_011,CMC,NDA,Not Available,Not Available,2024
CRL_012,CMC,NDA,Not Available,Not Available,2024
CRL_013,CMC,NDA,Not Available,Not Available,2024
CRL_014,Clinical,NDA,Not Available,Not Available,2025
CRL_014,Statistics,NDA,Not Available,Not Available,2025
CRL_015,CMC,NDA,Not Available,Not Available,2025
CRL_016,CMC,NDA,Not Available,Not Available,2024
CRL_017,CMC,NDA,Not Available,Not Available,2025
CRL_017,Clinical,NDA,Not Available,Not Available,2025
CRL_017,Statistics,NDA,Not Available,Not Available,2025
CRL_018,CMC,NDA,Not Available,Not Available,2025
CRL_019,CMC,NDA,Not Available,Not Available,2024
CRL_019,Clinical,NDA,Not Available,Not Available,2024
CRL_020,CMC,NDA,Not Available,Not Available,2024
CRL_021,CMC,NDA,Not Available,Not Available,2024
CRL_021,Nonclinical,NDA,Not Available,Not Available,2024
CRL_022,CMC,NDA,Not Available,Not Available,2024
CRL_023,CMC,NDA,Not Available,Not Available,2024
CRL_024,Clinical,NDA,Not Available,Not Available,2025
CRL_024,Statistics,NDA,Not Available,Not Available,2025
CRL_025,CMC,NDA,Not Available,Not Available,2025
CRL_026,CMC,NDA,Not Available,Not Available,2024
CRL_026,Nonclinical,NDA,Not Available,Not Available,2024
CRL_026,Regulatory,NDA,Not Available,Not Available,2024
CRL_027,CMC,NDA,Not Available,Not Available,2024
CRL_027,Nonclinical,NDA,Not Available,Not Available,2024
CRL_028,CMC,NDA,Not Available,Not Available,2024
CRL_028,Clinical,NDA,Not Available,Not Available,2024
CRL_029,CMC,NDA,Not Available,Not Available,2024
CRL_029,Clinical,NDA,Not Available,Not Available,2024
CRL_029,Nonclinical,NDA,Not Available,Not Available,2024
CRL_030,CMC,NDA,Not Available,Not Available,2024
CRL_031,CMC,NDA,Not Available,Not Available,2024
CRL_032,CMC,NDA,Not Available,Not Available,2025
CRL_033,CMC,NDA,Not Available,Not Available,2024
CRL_033,Nonclinical,NDA,Not Available,Not Available,2024
CRL_034,CMC,NDA,Not Available,Not Available,2024
CRL_034,Clinical,NDA,Not Available,Not Available,2024
CRL_035,Clinical,NDA,Not Available,Not Available,2025
CRL_035,Nonclinical,NDA,Not Available,Not Available,2025
CRL_036,CMC,NDA,Not Available,Not Available,2024
CRL_036,Clinical,NDA,Not Available,Not Available,2024
CRL_037,Clinical,NDA,Not Available,Not Available,2024
CRL_038,CMC,NDA,Not Available,Not Available,2024
CRL_039,CMC,NDA,Not Available,Not Available,2024
CRL_039,Clinical,NDA,Not Available,Not Available,2024
CRL_039,Nonclinical,NDA,Not Available,Not Available,2024
CRL_040,CMC,NDA,Not Available,Not Available,2024
CRL_041,Regulatory,NDA,Not Available,Not Available,2025
CRL_042,Regulatory,NDA,Not Available,Not Available,2024
CRL_043,Clinical,NDA,Not Available,Not Available,2025
CRL_043,Statistics,NDA,Not Available,Not Available,2025
CRL_044,CMC,NDA,Not Available,Not Available,2024
CRL_044,Clinical,NDA,Not Available,Not Available,2024
CRL_045,CMC,NDA,Not Available,Not Available,2025
CRL_045,Nonclinical,NDA,Not Available,Not Available,2025
CRL_046,CMC,NDA,Not Available,Not Available,2024
CRL_047,CMC,NDA,Not Available,Not Available,2025
CRL_048,CMC,NDA,Not Available,Not Available,2024
CRL_049,Clinical,NDA,Not Available,Not Available,2024
CRL_049,Statistics,NDA,Not Available,Not Available,2024
CRL_050,Clinical,NDA,Not Available,Not Available,2024
CRL_050,Nonclinical,NDA,Not Available,Not Available,2024
CRL_051,CMC,NDA,Not Available,Not Available,2025
CRL_051,Clinical,NDA,Not Available,Not Available,2025
CRL_052,Nonclinical,NDA,Not Available,Not Available,2024
CRL_053,CMC,NDA,Not Available,Not Available,2024
CRL_053,Nonclinical,NDA,Not Available,Not Available,2024
CRL_054,CMC,NDA,Not Available,Not Available,2024
CRL_054,Clinical,NDA,Not Available,Not Available,2024
CRL_055,CMC,NDA,Not Available,Not Available,2024
CRL_056,Clinical,NDA,Not Available,Not Available,2024
CRL_057,Clinical,NDA,Not Available,Not Available,2025
CRL_057,Nonclinical,NDA,Not Available,Not Available,2025
CRL_058,CMC,NDA,Not Available,Not Available,2025
CRL_059,CMC,NDA,Not Available,Not Available,2024
CRL_060,CMC,NDA,Not Available,Not Available,2025
CRL_060,Nonclinical,NDA,Not Available,Not Available,2025
CRL_061,CMC,NDA,Not Available,Not Available,2025
CRL_061,Clinical,NDA,Not Available,Not Available,2025
CRL_062,CMC,NDA,Not Available,Not Available,2025
CRL_062,Clinical,NDA,Not Available,Not Available,2025
CRL_063,CMC,BLA,Not Available,Not Available,2025
CRL_064,CMC,BLA,Not Available,Not Available,2024
CRL_065,CMC,BLA,Not Available,Not Available,2025
CRL_066,CMC,BLA,Not Available,Not Available,2025
CRL_067,CMC,BLA,Not Available,Not Available,2025
CRL_068,CMC,BLA,Not Available,Not Available,2025
CRL_069,CMC,BLA,Not Available,Not Available,2024
CRL_070,CMC,BLA,Not Available,Not Available,2024
CRL_071,CMC,BLA,Not Available,Not Available,2024
CRL_072,CMC,BLA,Not Available,Not Available,2024
CRL_073,CMC,BLA,Not Available,Not Available,2024
CRL_074,CMC,BLA,Not Available,Not Available,2024
CRL_074,Clinical,BLA,Not Available,Not Available,2024
CRL_075,Clinical,BLA,Not Available,Not Available,2025
CRL_076,CMC,BLA,Not Available,Not Available,2025
CRL_077,CMC,BLA,Not Available,Not Available,2024
CRL_078,Regulatory,BLA,Not Available,Not Available,2024
CRL_079,Regulatory,BLA,Not Available,Not Available,2024
CRL_080,CMC,BLA,Not Available,Not Available,2025
CRL_081,CMC,BLA,Not Available,Not Available,2025
CRL_082,CMC,BLA,Not Available,Not Available,2024
CRL_083,CMC,BLA,Not Available,Not Available,2025
CRL_084,CMC,BLA,Not Available,Not Available,2024
CRL_085,Clinical,BLA,Not Available,Not Available,2025
CRL_086,CMC,BLA,Not Available,Not Available,2024
CRL_087,CMC,BLA,Not Available,Not Available,2025
CRL_088,CMC,BLA,Not Available,Not Available,2024
CRL_089,CMC,BLA,Not Available,Not Available,2024
CRL_090,CMC,BLA,Not Available,Not Available,2025
CRL_091,CMC,BLA,Not Available,Not Available,2025
CRL_092,CMC,BLA,Not Available,Not Available,2025
CRL_092,Clinical,BLA,Not Available,Not Available,2025
CRL_093,Clinical,BLA,Not Available,Not Available,2025
CRL_094,CMC,BLA,Not Available,Not Available,2024
CRL_095,CMC,BLA,Not Available,Not Available,2025
CRL_096,CMC,NDA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",505(b),2023
CRL_097,CMC,NDA,Drug Evaluation 1,505(b),2007
CRL_097,Clinical,NDA,Drug Evaluation 1,505(b),2007
CRL_098,Clinical,NDA,Drug Evaluation 1,505(b),2004
CRL_099,Clinical,NDA,Drug Evaluation 1,505(b),2002
CRL_100,Clinical,NDA,Drug Evaluation 1,505(b),2008
CRL_100,Nonclinical,NDA,Drug Evaluation 1,505(b),2008
CRL_101,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2022
CRL_102,Clinical,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2020
CRL_103,CMC,NDA,Drug Evaluation 1,505(b),2009
CRL_103,Clinical,NDA,Drug Evaluation 1,505(b),2009
CRL_104,CMC,NDA,Specialty Medicine,505(b)(2),2021
CRL_104,Clinical,NDA,Specialty Medicine,505(b)(2),2021
CRL_105,Clinical,NDA,Not Available,Not Available,2025
CRL_106,Clinical,NDA,Not Available,Not Available,2025
CRL_107,CMC,NDA,Not Available,Not Available,2025
CRL_107,Nonclinical,NDA,Not Available,Not Available,2025
CRL_108,CMC,NDA,Drug Evaluation 3,505(b)(2),2010
CRL_109,Clinical,NDA,Drug Evaluation 2,505(b),2015
CRL_110,Clinical,NDA,Drug Evaluation 2,505(b)(2),2013
CRL_111,Clinical,NDA,Drug Evaluation 2,505(b)(2),2010
CRL_111,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2010
CRL_112,CMC,NDA,Drug Evaluation 1,505(b),2011
CRL_112,Clinical,NDA,Drug Evaluation 1,505(b),2011
CRL_113,Clinical,BLA,Drug Evaluation 2,351(a),2015
CRL_114,Clinical,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_115,CMC,NDA,Drug Evaluation 4,505(b)(2),2013
CRL_115,Clinical,NDA,Drug Evaluation 4,505(b)(2),2013
CRL_116,CMC,NDA,Drug Evaluation 3,505(b),2016
CRL_116,Clinical,NDA,Drug Evaluation 3,505(b),2016
CRL_117,CMC,NDA,Drug Evaluation 3,505(b),2011
CRL_117,Clinical,NDA,Drug Evaluation 3,505(b),2011
CRL_118,CMC,NDA,Hematology & Oncology Products,505(b)(2),2013
CRL_118,Clinical,NDA,Hematology & Oncology Products,505(b)(2),2013
CRL_119,Clinical,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_120,CMC,NDA,Drug Evaluation 2,505(b)(2),2013
CRL_120,Clinical,NDA,Drug Evaluation 2,505(b)(2),2013
CRL_121,CMC,NDA,Drug Evaluation 4,505(b)(2),2013
CRL_121,Clinical,NDA,Drug Evaluation 4,505(b)(2),2013
CRL_121,Regulatory,NDA,Drug Evaluation 4,505(b)(2),2013
CRL_122,CMC,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_122,Clinical,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_123,CMC,NDA,Drug Evaluation 1,505(b)(2),2013
CRL_123,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2013
CRL_124,CMC,NDA,Drug Evaluation 1,505(b),2012
CRL_125,CMC,NDA,Drug Evaluation 3,505(b)(2),2017
CRL_125,Clinical,NDA,Drug Evaluation 3,505(b)(2),2017
CRL_126,Clinical,NDA,Drug Evaluation 3,505(b)(2),2013
CRL_127,CMC,NDA,Drug Evaluation 3,505(b)(2),2013
CRL_127,Clinical,NDA,Drug Evaluation 3,505(b)(2),2013
CRL_128,CMC,NDA,Infectious Diseases,505(b)(2),2023
CRL_129,CMC,NDA,Antimicrobial Products,505(b)(2),2019
CRL_130,CMC,NDA,Drug Evaluation 1,505(b)(2),2017
CRL_131,CMC,NDA,Drug Evaluation 1,505(b)(2),2015
CRL_132,Clinical,NDA,Drug Evaluation 1,505(b)(2),2013
CRL_133,Nonclinical,NDA,Infectious Diseases,505(b)(2),2021
CRL_134,CMC,NDA,Infectious Diseases,505(b)(2),2019
CRL_134,Nonclinical,NDA,Infectious Diseases,505(b)(2),2019
CRL_135,CMC,NDA,Antimicrobial Products,505(b)(2),2018
CRL_135,Clinical,NDA,Antimicrobial Products,505(b)(2),2018
CRL_135,Nonclinical,NDA,Antimicrobial Products,505(b)(2),2018
CRL_136,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2023
CRL_137,CMC,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_138,CMC,NDA,New Drugs,505(b)(2),2019
CRL_138,Clinical,NDA,New Drugs,505(b)(2),2019
CRL_138,Patent Certifications,NDA,New Drugs,505(b)(2),2019
CRL_139,CMC,NDA,Neuroscience,505(b),2020
CRL_140,Clinical,NDA,Drug Evaluation 1,505(b),2019
CRL_141,Nonclinical,NDA,Neuroscience,505(b)(2),2020
